noticia_link_1,noticia_headline_1,noticia_bajada_1,noticia_antetitulo_1,noticia_cuerpo_1,noticia_dia_1,noticia_etiquetas_1,noticia_entidad_1,noticia_link_2,noticia_headline_2,noticia_bajada_2,noticia_antetitulo_2,noticia_cuerpo_2,noticia_dia_2,noticia_etiquetas_2,noticia_entidad_2
https://peru21.pe/deportes/futbol-peruano/universitario-vs-melgar-pablo-lavandeira-debuto-cremas-video-425176-noticia/,universitario vs melgar pablo lavandeira debuto cremas video,pablo lavandeira refuerzo universitario deportes debuto melgar arequipa,Fútbol peruano,apenas expulsaron arquimides figuera minutos nicolas cordova entrenador universitario deportes movio banco suplentes balancear diez hombres quedaron cancha pablo lavandeira reciente incorporacion merengues alisto debutar momento mas complicado encuentro camiseta espalda volante sustituyo javier nuñez luego experiencias utc cajamarca sport rosario deportivo municipal uruguayo menos minutos mostrarse camiseta universitario deportes cabe señalar arquimides figuera cancha ingreso pablo lavandeira merengues campo juego tres extranjeros numero permitido segun bases torneo,2018-09-01,"Universitario de Deportes, FBC Melgar, Pablo Lavandeira",Peru21,https://elcomercio.pe/deporte-total/universitario-vs-melgar-pablo-lavandeira-debuto-cremas-video-noticia-nndc-553025-noticia/,universitario vs melgar pablo lavandeira debuto cremas video,pablo lavandeira refuerzo universitario deportes ingreso debut camiseta crema frente fbc melgar,DT,nicolas cordoba vio situacion impensada resultado favor quedarse hombre menos pensaron haria ingresar algun volante mixto netamente marca estratega sorprendio mandando campo nuevo jugador pablo lavandeira ex deportivo municipal debuto universitario mas minutos pablo lavandeira reciente incorporacion merengues alisto debutar momento mas complicado encuentro camiseta espalda volante sustituyo javier nuñez luego experiencias utc cajamarca sport rosario deportivo municipal uruguayo menos minutos mostrarse camiseta universitario deportes cabe señalar arquimides figuera cancha ingreso pablo lavandeira merengues campo juego tres extranjeros numero permitido segun bases torneo,2018-09-01,"FBC Melgar, Universitario de Deportes, Pablo Lavandeira",Comercio
https://peru21.pe/deportes/futbol-peruano/universitario-vs-melgar-arquimedes-figuera-vio-roja-directa-codazo-video-425174-noticia/,universitario vs melgar arquimedes figuera vio roja directa codazo video,arquimedes figuera dejo diez hombres auniversitario deportes falta duelo melgar,Fútbol peruano,minutos final universitario deportes quedo diez hombres tras expulsion arquimedes figuera volante golpeo alexis arias volante melgar juego fecha torneo clausura jugador venezolano dio mal pase perdio pelota mediocentro conjunto domino recupero balon inicio accion ofensiva crema golpeo codo escape rival arbitro augusto menendez cerca accion dudo sacar roja directa arquimedes figuera clara falta hombre universitario deportes mediocampista crema reclamo juez encuentro decision embargo debutante german denis puso paños frios situacion retiro compañero dirija vestuarios,2018-09-01,"Arquímedes Figuera, Universitario de Deportes, FBC Melgar",Peru21,https://elcomercio.pe/deporte-total/universitario-vs-melgar-arquimedes-figuera-vio-roja-directa-codazo-video-noticia-nndc-553017-noticia/,universitario vs melgar arquimedes figuera expulsado codazo artero video,arquimedes figuera dejo campo tras ser expulsado agredir rival codazo,DT,universitario obtenia gran resultado arequipa tras gol javier nuñez embargo cremas sufrieron expulsion arquimedes figuera venezolano agredio alexis arias codazo dejar equipo crema hombres tras ello fbc melgar mas impetu busca resultado positivo jugador venezolano dio mal pase perdio pelota mediocentro conjunto domino recupero balon inicio accion ofensiva crema golpeo codo escape rival arbitro augusto menendez cerca accion dudo sacar roja directa arquimedes figuera clara falta hombre universitario deportes mediocampista crema reclamo juez encuentro decision embargo debutante german denis puso paños frios situacion retiro compañero dirija vestuarios,2018-09-01,"Arquímedes Figuera, FBC Melgar, Universitario de Deportes",Comercio
https://peru21.pe/deportes/futbol-peruano/melgar-vs-universitario-debut-german-denis-cremas-nndc-425171-noticia/,melgar vs universitario asi debut german denis cremas,delantero argentino debuto cremas melgar arequipa torneo clausura,Fútbol peruano,delantero argentino german denis debuto sabado camiseta universitario deportes duelo frente melgar estadio monumental unsa arequipa experimentado atacante gaucho salto campo camiseta reemplazando daniel chavez minutos minutos segundo tiempo german denisgerman denis ingreso universitario lanzo ataque pronto abrio cuenta gracias javier nuñez alineaciones confirmadas melgar penny narvaez cuesta quina arias arce gonzales miguez fuentes cuetsa etchemaite universitario fernandez corzo schuler balbin vasquez paucar figuera manicero nuñez siucho chavez,2018-09-01,"Universitario de Deportes, FBC Melgar",Peru21,https://elcomercio.pe/deporte-total/futbol-peruano/melgar-vs-universitario-debut-german-denis-cremas-noticia-nndc-553011-noticia/,melgar vs universitario german denis debuto universitario video,delantero argentino debuto camiseta universitario melgar arequipa torneo clausura,Fútbol peruano,delantero argentino german denis debuto sabado camiseta universitario deportes duelo frente melgar estadio monumental unsa arequipa experimentado atacante gaucho salto campo camiseta reemplazando daniel chavez minutos minutos segundo tiempo german denis ingreso universitario lanzo ataque pronto abrio cuenta gracias javier nuñez alineaciones confirmadas melgar penny narvaez cuesta quina arias arce gonzales miguez fuentes cuetsa etchemaite universitario fernandez corzo schuler balbin vasquez paucar figuera manicero nuñez siucho chavez,2018-09-01,"FBC Melgar, Universitario de Deportes",Comercio
https://peru21.pe/deportes/universitario-deportes-vs-melgar-vivo-directo-online-german-denis-fecha-1-torneo-clausura-nndc-424963-noticia/,universitario deportes perdio melgar arequipa fotos,arequipeños voltearon marcador encuentro luego crema arquimedes figuera expulsado segundo tiempo,Deportes,actualizacionuniversitario deportes dejo voltear partido perdio melgar arequipa primera fecha torneo clausura aunque primero minutos constante ataque cuadro arequipeño christofer gonzales enchufado cremas supieron adormecer rival pararon bien campo rojinegros daban vencido intentaron diferentes lados incluso tulio enrique etchemaite ocasion clara paro pecho area chalaca disparo balon estrello palo raul fernnandez segundo tiempo ingreso refuerzo universitario deportes argentino german denis daniel chavez tres minutos javier nuñez anoto cremas partir momento encuentro calento merengues costo resultado venezolano arquimedes figuera mando codazo rostro alexis arias u quedo hombres entrenador nicolas cordova mando campo refuerzos cremas entro pablo lavandeira sustituyendo javier nuñez pudo hacer partido habia cambiado completamente favor melgar asi tulio etchemaite saco misil larga distancia tras chocar palo quedo servida bernardo cuesta empatar u aguantaba empate tulio etchemaite recibio borde area coloco costado arco fernandez melgar llevo victoria previauniversitario deportes vs melgar juegan vivo sabado noche partido valido fecha torneo clausura choque equipos bien reforzados ultima etapa descentralizado choque sera transmitido gol peru cremas buscaran alejarse aun mas zona descenso mientras rojinegros cuidaran segundo lugar tabla puntaje acumulado universitario deportes tendra novedad presencia dos tres refuerzos german denis pablo lavandeira convocados tecnico nicolas cordova obligacion cremas sumar puntos menos arrancaria titular atacante argentino ex atalanta italia regreso aldo corzo once titular universitario deportes espera debutar torneo clausura pie derecho tendra facil melgar tambien mostrar ultima fecha debuto joel sanchez certamen podran ver accion excrema christofer gonzales llego sport rosario ausencia mas importante partido sera nilson loyola melgar convocado seleccion peruana mientras universitario deportes llega plantel optimas condiciones avizora partidazo melgar segundo tabla puntaje acumulado sabe casa debe hacerse fuerte tentar esperanza disputar play off titulo nacional caso sporting cristal gane torneo clausura universitario deportes quiere sumar tres puntos vitales empezar ver tabla posiciones optica empezar soñar torneo internacional universitario deportes vs melgar posibles alineacionesuniversitario deportes raul fernandez aldo corzo werner schuler adan balbin jersson vasquez arquimedes figuera juan vargas emanuel paucar javier nuñez diego manicero german denis dt nicolas cordova melgar diego penny giancarlo carmona paolo fuentes jean pierre fuentes minzun quina alexis arias pablo miguez patricio arce emiliano biancucchi christofer gonzales bernardo cuesta dt hernan torres,2018-09-01,"Torneo clausura, Universitario de Deportes, Melgar",Peru21,https://elcomercio.pe/deporte-total/universitario-vs-melgar-vivo-online-via-gol-peru-arequipa-primera-fecha-clausura-transmision-directo-noticia-nndc-552692-noticia/,melgar vencio universitario debut refuerzos torneo clausura,universitario deportescayo visita fbc melgar gracias goles bernardo cuesta tulio etchemaite cremas debutaron german denis pablo lavandeira,DT,universitario deportes cayo visita fbc melgar estadio unsa primera jornada torneo clausura equipo arequipeño consiguio triunfo gracias gol agonico tulio etchemaite primer tiempo fbc melgar dominador posesion inocua tiempo hizo sintieran mejor campo comenzaron hacer figura raul fernandez bernardo cuesta tulio etchemaite llevaron mayor peligro conseguir exito alguno segunda mitad german denis hizo estreno camiseta crema centro llego cabeza enmanuel paucar pudo pivotear javier nuñez quede frente diego penny pequeño volante abrio marcador violento remate figuera reacciono mal expulsado debido codazo propino rostro jugador rival pensaban iba poner volante marca nicolas cordoba mando campo pablo lavandeira efecto deseado bernardo cuesta aprovecho rebote empato marcador tulio etchemaite dio agonico triunfo arequipeños siguiente jornada fbc melgar visitara ayacucho fc mientras universitario recibira utc resumen partido video universitario vs fbc melgar asi jugaron universitario vs fbc melgar incidencias partido previauniversitario deportes tendra novedad presencia dos tres refuerzos german denis pablo lavandeira convocados tecnico nicolas cordova obligacion cremas sumar puntos menos arrancaria titular atacante argentino ex atalanta italia regreso aldo corzo once titular universitario deportes espera debutar torneo clausura pie derecho tendra facil melgar tambien mostrar ultima fecha debuto joel sanchez certamen podran ver accion excrema christofer gonzales llego sport rosario ausencia mas importante partido sera nilson loyola melgar convocado seleccion peruana mientras universitario deportes llega plantel optimas condiciones avizora partidazo melgar segundo tabla puntaje acumulado sabe casa debe hacerse fuerte tentar esperanza disputar play off titulo nacional caso sporting cristal gane torneo clausura universitario deportes quiere sumar tres puntos vitales empezar ver tabla posiciones optica empezar soñar torneo internacional universitario deportes vs melgar posibles alineacionesuniversitario deportes raul fernandez aldo corzo werner schuler adan balbin jersson vasquez arquimedes figuera juan vargas emanuel paucar javier nuñez diego manicero german denis dt nicolas cordova melgar diego penny giancarlo carmona paolo fuentes jean pierre fuentes minzun quina alexis arias pablo miguez patricio arce emiliano biancucchi christofer gonzales bernardo cuesta dt hernan torres,2018-09-01,"FBC Melgar, Universitario de Deportes, Melgar, Torneo Clausura",Comercio
https://peru21.pe/mundo/medio-oriente/siria-rusia-bombardea-idlib-cumbre-decisiva-teheran-426420-noticia/,rusia bombardea idlib cumbre decisiva teheran,menos dos personas murieron tras ofensiva efectuada vispera reunion sostendran presidentes iran rusia aliados regimen bashar asad homologo turquia decidir destino provincia siria,Medio Oriente,aviones rusos bombardearon posiciones rebeldes yihadistas idlib causando dos muertos ultimo feudo insurgente siria cuyo destino debatido teheran informo ong presidentes iran rusia aliados regimen bashar asad reunen homologo turquia viernes teheran decidir destino idlib provincia bajo amenaza inminente ofensiva poder regimen asad decidido recuperar conjunto territorio sirio congrega refuerzos alrededores provincia fronteriza turquia dominada yihadistas tahrir sham hts aunque tambien acoge importantes facciones rebeldes fuerzas sirias llevan cabo hace dias disparos artilleria zona mientras aliado ruso efectua bombardeos aereos esporadicos segun observatorio sirio derechos humanos osdh objetivo destruir fortificaciones insurgentes preciso director osdh rami abdel rahman cumbre viernes rusia iran deberan tener cuenta postura turquia respaldo rebeldes dispone tropas idlib teme llegada masiva refugiados territorio fuente afp,2018-09-07,Siria,Peru21,https://peru21.pe/mundo/medio-oriente/rusia-intensifica-bombardeos-provincia-siria-idleb-nndc-426652-noticia/,rusia intensifica bombardeos provincia siria idleb,bombardeos rusia aliada siria impactaron zonas jan shijun latamna tel aas sur sureste idleb conozca momento si victimas,Medio Oriente,aviacion rusa lanzo hoy alrededor ataques aereos provincia norteña idleb siria mas intensos agresivos hace mes region espera inminente ofensiva regimen aliados informo observatorio sirio derechos humanos bombardeos rusia aliada siria impactaron zonas jan shijun latamna tel aas sur sureste idleb conozca momento si victimas dijo ong cuya sede reino unido cuenta amplia red colaboradores terreno bombardeos producen dia despues rusia iran turquia pidieran facciones armadas depongan armas evitar asi tragedia humanitaria operacion militar fuerzas leales presidente sirio bachar asad,2018-09-08,"Idleb, Rusia, Siria",Peru21
https://peru21.pe/mundo/rusia-asegura-estados-unidos-reclutar-informantes-demuestra-injerencia-nndc-425421-noticia/,rusia asegura intento ee uu reclutar informantes demuestra injerencia,segun informo the new york times grupo ciudadanos rusos contactados elfbi departamento justicia unidos obtenerinformacion injerencia rusa elecciones,Mundo,gobierno ruso declaro intentos unidos reclutar ciudadanos rusos evidencia injerencia pais asuntos internos rusia despues revelarse departamento justicia fbi trataron obtener informacion oligarca ruso oleg deripaska cercano kremlin ultimos años inteligencia estadounidense intentado reclutar manera grosera ciudadanos rusos someterles presion moral tipos presiones señalo portavoz presidencia rusa dmitri peskov segun agencia interfax quiso embargo comentar informacion publicada domingo diario the new york times asegura washington quiso reclutar millonario ruso deripaska obtener informacion crimen organizado pais luego intervencion rusa elecciones estadounidenses si dijo tipo informaciones claro hecho evidencia practicas estadounidenses empresarios oleg deripaska grandes actores gestores enormes redes negocio procesos industriales afectan decenas miles veces cientos miles personas casos intento reclutar oligarca reflejo mas notable afan intervenir asuntos internos rusia afirmo peskov fuente efe,2018-09-03,"Estados Unidos, Rusia",Peru21,https://peru21.pe/mundo/estados-unidos-reclutar-magnates-rusia-informantes-nndc-425253-noticia/,unidos intento reclutar magnates rusia informantes,segun informo the new york times millonario rusooleg deripaska abordado fbi departamento justicia unidos,Mundo,departamento justicia unidos fbi intentaron millonario ruso oleg deripaska vinculos kremlin informante gobierno intento obtener informacion crimen organizado pais luego intervencion elecciones esfuerzos involucrados degradado funcionario justicia mentir bruce ohr christopher steele ex espia britanico informante fbi preparo dossier investigacion financiada democratas ahora presidente unidos donald trump segun informacion new york times hecho eco varios medios primera reunion discutio tema obtener informacion crimen organizado ruso año despues posibles vinculos rusos campaña acuerdo times cita fuentes vinculadas oligarca ruso fundador group mayores operadores energeticos siberia destaca intento reclutar deripaska parte iniciativa amplia intento obtener cooperacion varios hombres mas ricos rusos mayoria vinculos presidente vladimir putin parecer exito steele responsable facilitar reuniones ambas partes primera ocurrio viaje rusia asistio ohr presionaron deripaska vinculos crimen organizado pais gobierno presidente putin temas segun fuentes rotativo deripaska aseguro teorias tenian fundamento reflejaban rusia hacian cosas acuerdo segunda reunion oficiales unidos contactaron ruso septiembre dos meses comenzara investigacion alegada intervencion rusa campaña electoral acuerdo informantes agentes fbi presentaron noche residencia millonario ruso nueva york interrogaron vez paul manafort ex socio comercial habia discrepancias luego presidente campaña trump querian saber si manafort habia enlace rusia campaña trump oligarca ruso rechazo asi existieran tales vinculos despues manafort dejo campaña candidato republicano contactos ohr recientemente convertido blanco ataques trump steele estan detallados correos electronicos notas funcionario justicia señala ademas rotativo ohr comenzo ser blanco criticas presidente despues supiera marco investigaciones supuesta injerencia rusa elecciones habia contacto steele fuente efe,2018-09-02,"Estados Unidos, Rusia",Peru21
https://peru21.pe/mundo/rusia-demanda-reino-unido-huellas-dactilares-sospechosos-caso-skripal-nndc-425977-noticia/,rusia demanda reino unido huellas dactilares sospechosos caso skripal,portavozdel ministerio asuntos exteriores maria zajarova insistio llamar autoridades britanicas cooperar esclarecer caso enturbiado aun mas tensas relaciones bilaterales,Mundo,rusia cito embajador britanico exigirle huellas dactilares primeros sospechosos caso skripal identificados policia britanica oficiales rusos alexander petrov ruslan boshirov cancilleria rusa exigio embajador britanico moscu entregue huellas dactilares dos hombres londres llaman sospechosos caso skripal vinculan rusia declaro maria zajarova portavoz exteriores declaraciones prensa recordo londres debe tener poder huellas dactilares dado ciudadano ruso debe cumplir requisito si quiere recibir visado viajar reino unido embargo embajador britanico dijo reino unido entregara ningun material huellas dactilares numeros pasaportes lamento diplomatica expreso confianza dicha informacion sera asi remitida traves interpol zajarova destaco moscu nunca habia oido hablar ciudadanos rusos puso duda veracidad fotos divulgadas reino unido acuso intentar llevar engaño toda comunidad internacional tacho publicacion nuevos datos caso skripal carrusel infernal vez investigacion autenticamente independiente objetiva transparente incidentes salisbury amesbury londres recurre insistentemente diplomacia megafonia antirrusa apunto portavoz diplomacia rusa insistio llamar autoridades britanicas cooperar esclarecer caso enturbiado aun mas ultimas meses tensas relaciones bilaterales lugar recibimos acusaciones absurdas demos explicaciones situacion dicho numerosas ocasiones ver dijo scotland yard fiscalia britanica comunicaron suficientes pruebas acusar petrov bushirov conspiracion cometer asesinatos territorio britanico agente nervioso seguidamente primera ministra britanica theresa may afirmo dos sospechosos intento asesinato ex espia serguei skripal hija yulia agentes inteligencia militar rusa gru fuente efe,2018-09-05,"Reino Unido, Rusia, Sergei Skripal",Peru21,https://peru21.pe/mundo/reino-unido-asegura-capturara-sospechosos-caso-skripal-dejan-rusia-426825-noticia/,reino unido asegura capturara sospechosos caso skripal si dejan rusia,elministro interior sajid javid reconocio probable dos hombres presuntos agentes secretos servicio inteligencia militar rusia gru salgan nunca pais cuya constitucion impide extradicion,Mundo,ministro britanico interior sajid javid aseguro hoy reino unido aliados capturara dos sospechosos caso skripal si alguna vez ponen pie rusia declaraciones bbc javid reconocio probable dos hombres presuntos agentes secretos servicio inteligencia militar rusia gru salgan nunca pais cuya constitucion impide extradicion alerto si hacen seran apresados si alguna vez ponen pie federacion rusa reino unido aliados atraparan llevaran justicia afirmo javid programa andrew marr bbc one reino unido tramitado orden detencion europea significa sospechosos identificados alexander petrov ruslan boshirov aunque posiblemente nombres falsos serian arrestados si hallaran territorio comunitario javid reitero posicion gobierno londres ejecutivo vladimir putin ordeno ataque antiguo espia ruso sergei skripal hija yulia pasado marzo intoxicaron neurotoxico fabricacion rusa novichok localidad inglesa salisbury inequivoco claro cristalino acto ruso dijo titular interior recalco gru tambien pertenecio skripal organizacion disciplinada responde ejecutivo putin primera ministra britanica theresa may consiguio semana apoyo unidos francia alemania canada suscribieron tesis casi certeza presidente ruso detras ataque novichok presunto ataque causo intoxicacion accidental tres personas policia pareja contamino hallar frasco residuos mujer dawn sturgess fallecio complicaciones julio mientras resto recupero fuente efe,2018-09-09,"Reino Unido, Rusia, Sergei Skripal",Peru21
https://peru21.pe/mundo/reino-unido-asegura-capturara-sospechosos-caso-skripal-dejan-rusia-426825-noticia/,reino unido asegura capturara sospechosos caso skripal si dejan rusia,elministro interior sajid javid reconocio probable dos hombres presuntos agentes secretos servicio inteligencia militar rusia gru salgan nunca pais cuya constitucion impide extradicion,Mundo,ministro britanico interior sajid javid aseguro hoy reino unido aliados capturara dos sospechosos caso skripal si alguna vez ponen pie rusia declaraciones bbc javid reconocio probable dos hombres presuntos agentes secretos servicio inteligencia militar rusia gru salgan nunca pais cuya constitucion impide extradicion alerto si hacen seran apresados si alguna vez ponen pie federacion rusa reino unido aliados atraparan llevaran justicia afirmo javid programa andrew marr bbc one reino unido tramitado orden detencion europea significa sospechosos identificados alexander petrov ruslan boshirov aunque posiblemente nombres falsos serian arrestados si hallaran territorio comunitario javid reitero posicion gobierno londres ejecutivo vladimir putin ordeno ataque antiguo espia ruso sergei skripal hija yulia pasado marzo intoxicaron neurotoxico fabricacion rusa novichok localidad inglesa salisbury inequivoco claro cristalino acto ruso dijo titular interior recalco gru tambien pertenecio skripal organizacion disciplinada responde ejecutivo putin primera ministra britanica theresa may consiguio semana apoyo unidos francia alemania canada suscribieron tesis casi certeza presidente ruso detras ataque novichok presunto ataque causo intoxicacion accidental tres personas policia pareja contamino hallar frasco residuos mujer dawn sturgess fallecio complicaciones julio mientras resto recupero fuente efe,2018-09-09,"Reino Unido, Rusia, Sergei Skripal",Peru21,https://peru21.pe/mundo/rusia-niega-sospechosos-ataque-sergei-skripal-reino-unido-sean-agentes-gru-nndc-427498-noticia/,rusia niega sospechosos ataque skripal agentes gru,diplomatico hizo declaraciones despues putin afirmara autoridades rusas conocen identidades alexander petrov ruslan boshirov dos sospechosos señalados reino unido,Mundo,representante rusia opaq alexander shulgin dijo dos sospechosos ataque ex espia ruso sergei skripal hija yulia identificados reino unido pertenecen servicios inteligencia ninguna relacion fuerzas militares rusas acusacion totalmente infundada siguen diciendo agentes gru agencia espionaje militar rusa negamos totalmente verdad afirmo shulgin califico absurda surrealista acusacion britanica moscu detras envenenamientos rusia convoco parte organizacion prohibicion armas quimicas opaq sesion informativa ausentaron reino unido unidos francia britanicos habian pedido clarificar situacion supone debemos darles respuesta si quieren tratar directamente podemos hacerlo traves secretaria tecnica opaq dijo representante ruso aunque sugirio moscu londres exploren contactos bilaterales respecto agente nervioso novichok usado agentes rusos envenenamientos segun londres shulgin presento documento paginas demostrar dicha sustancia utilizada paises occidentales diplomatico hizo declaraciones salir sede opaq despues presidente rusia vladimir putin afirmara autoridades rusas conocen identidades alexander petrov ruslan boshirov dos sospechosos señalados reino unido sabemos encontramos dijo jefe kremlin subrayo ambos civiles pidio dirijan medios comunicacion cuenten version pues criminal conductas fiscalia britanica indicado solicitara rusia extradicion petrov boshirov constitucion pais permite entrega nacionales emitido orden europea arresto implica si viajan europa podran ser detenidos ser juzgados reino unido fuente efe,2018-09-12,"Reino Unido, Rusia, Sergei Skripal",Peru21
https://peru21.pe/mundo/rusia-niega-sospechosos-ataque-sergei-skripal-reino-unido-sean-agentes-gru-nndc-427498-noticia/,rusia niega sospechosos ataque skripal agentes gru,diplomatico hizo declaraciones despues putin afirmara autoridades rusas conocen identidades alexander petrov ruslan boshirov dos sospechosos señalados reino unido,Mundo,representante rusia opaq alexander shulgin dijo dos sospechosos ataque ex espia ruso sergei skripal hija yulia identificados reino unido pertenecen servicios inteligencia ninguna relacion fuerzas militares rusas acusacion totalmente infundada siguen diciendo agentes gru agencia espionaje militar rusa negamos totalmente verdad afirmo shulgin califico absurda surrealista acusacion britanica moscu detras envenenamientos rusia convoco parte organizacion prohibicion armas quimicas opaq sesion informativa ausentaron reino unido unidos francia britanicos habian pedido clarificar situacion supone debemos darles respuesta si quieren tratar directamente podemos hacerlo traves secretaria tecnica opaq dijo representante ruso aunque sugirio moscu londres exploren contactos bilaterales respecto agente nervioso novichok usado agentes rusos envenenamientos segun londres shulgin presento documento paginas demostrar dicha sustancia utilizada paises occidentales diplomatico hizo declaraciones salir sede opaq despues presidente rusia vladimir putin afirmara autoridades rusas conocen identidades alexander petrov ruslan boshirov dos sospechosos señalados reino unido sabemos encontramos dijo jefe kremlin subrayo ambos civiles pidio dirijan medios comunicacion cuenten version pues criminal conductas fiscalia britanica indicado solicitara rusia extradicion petrov boshirov constitucion pais permite entrega nacionales emitido orden europea arresto implica si viajan europa podran ser detenidos ser juzgados reino unido fuente efe,2018-09-12,"Reino Unido, Rusia, Sergei Skripal",Peru21,https://peru21.pe/mundo/rusia-demanda-reino-unido-huellas-dactilares-sospechosos-caso-skripal-nndc-425977-noticia/,rusia demanda reino unido huellas dactilares sospechosos caso skripal,portavozdel ministerio asuntos exteriores maria zajarova insistio llamar autoridades britanicas cooperar esclarecer caso enturbiado aun mas tensas relaciones bilaterales,Mundo,rusia cito embajador britanico exigirle huellas dactilares primeros sospechosos caso skripal identificados policia britanica oficiales rusos alexander petrov ruslan boshirov cancilleria rusa exigio embajador britanico moscu entregue huellas dactilares dos hombres londres llaman sospechosos caso skripal vinculan rusia declaro maria zajarova portavoz exteriores declaraciones prensa recordo londres debe tener poder huellas dactilares dado ciudadano ruso debe cumplir requisito si quiere recibir visado viajar reino unido embargo embajador britanico dijo reino unido entregara ningun material huellas dactilares numeros pasaportes lamento diplomatica expreso confianza dicha informacion sera asi remitida traves interpol zajarova destaco moscu nunca habia oido hablar ciudadanos rusos puso duda veracidad fotos divulgadas reino unido acuso intentar llevar engaño toda comunidad internacional tacho publicacion nuevos datos caso skripal carrusel infernal vez investigacion autenticamente independiente objetiva transparente incidentes salisbury amesbury londres recurre insistentemente diplomacia megafonia antirrusa apunto portavoz diplomacia rusa insistio llamar autoridades britanicas cooperar esclarecer caso enturbiado aun mas ultimas meses tensas relaciones bilaterales lugar recibimos acusaciones absurdas demos explicaciones situacion dicho numerosas ocasiones ver dijo scotland yard fiscalia britanica comunicaron suficientes pruebas acusar petrov bushirov conspiracion cometer asesinatos territorio britanico agente nervioso seguidamente primera ministra britanica theresa may afirmo dos sospechosos intento asesinato ex espia serguei skripal hija yulia agentes inteligencia militar rusa gru fuente efe,2018-09-05,"Reino Unido, Rusia, Sergei Skripal",Peru21
https://peru21.pe/mundo/medio-oriente/siria-rusia-bombardea-idlib-cumbre-decisiva-teheran-426420-noticia/,rusia bombardea idlib cumbre decisiva teheran,menos dos personas murieron tras ofensiva efectuada vispera reunion sostendran presidentes iran rusia aliados regimen bashar asad homologo turquia decidir destino provincia siria,Medio Oriente,aviones rusos bombardearon posiciones rebeldes yihadistas idlib causando dos muertos ultimo feudo insurgente siria cuyo destino debatido teheran informo ong presidentes iran rusia aliados regimen bashar asad reunen homologo turquia viernes teheran decidir destino idlib provincia bajo amenaza inminente ofensiva poder regimen asad decidido recuperar conjunto territorio sirio congrega refuerzos alrededores provincia fronteriza turquia dominada yihadistas tahrir sham hts aunque tambien acoge importantes facciones rebeldes fuerzas sirias llevan cabo hace dias disparos artilleria zona mientras aliado ruso efectua bombardeos aereos esporadicos segun observatorio sirio derechos humanos osdh objetivo destruir fortificaciones insurgentes preciso director osdh rami abdel rahman cumbre viernes rusia iran deberan tener cuenta postura turquia respaldo rebeldes dispone tropas idlib teme llegada masiva refugiados territorio fuente afp,2018-09-07,Siria,Peru21,https://peru21.pe/mundo/nueve-muertos-bombardeo-rusia-idlib-fotos-nndc-425707-noticia/,menos nueve muertos bombardeo rusia idlib fotos,director osdh rami abdel rahman señalo aviones rusos bombardearon nuevamente provincia idlib luego pausa dias,Mundo,aviacion rusia bombardeo martes varias zonas provincia idlib ultimo bastion rebelde noroeste siria causo muerte menos nueve civiles cinco niños segun observatorio sirio derechos humanos osdh aviones rusos bombardearon nuevamente provincia idlib luego pausa dias indico afp director osdh rami abdel rahman bombardeos intervienen dia siguiente ataques rebeldes posiciones fuerzas regimen provincia vecina latakia dejaron tres muertos segun rahman provincia litoral latakia principales bastiones regimen sirio region origen familia presidente bashar assad total regiones idlib vieron afectadas ataques cinco menores fallecieron pertenecian misma familia tambien contabilizaron diez heridos ciudad mhambal suroeste provincia idlib declaro gran incendio gasolinera bombardeada constato corresponsal afp segun osdh sectores atacados jisr shughur controlado yihadistas hayat tahrir sham ex milicianos qaeda ariha controlado rebeldes regimen bashar assad concentra tropas hace mas mes limites idlib cara importante ofensiva bombardeos region habian comenzado esporadicamente agosto disminuyendo moscu acusa rebeldes pilotear drones dirigidos hacia base militar rusa hmeimim latakia fuerzas rusas derriban segun expertos eventual ofensiva idlib seria limitada solo sectores perifericos cerca zonas controladas regimen sirio idlib ultima region siria damasco controla provincia dominada hayat tahrir sham hts formado ex miembros qaeda tambien multiples milicias rebeldes segun onu ofensiva idlib podria hacer mil personas abandonen hogares provocar catastrofe humanitaria conflicto siria comenzado dejo mas mil muertos millones desplazados fuente afp,2018-09-04,"Rusia, Siria",Peru21
